"Departamento","2002","2003","2004","2005","2006","2007","2008","2009","2010*","2011*","2012*","2013*","2014*","2015*","2016*","2017*","2018*","2019*","2020*","2021*"
"Antioquia","127.99","128.05","129.3","129.82","126.3","126.9","129.1","130.57","131.12","131.17","133.61","137.13","130.99","128.63","126.4","123.26","120.96","119.16","117.53","116.29"
"ATLANTICO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SANTAFE DE BOGOTA D.C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bolivar","0","0","0","0","0","0","0","0","0","0","0","1","1.12","1.16","1.18","1.23","1.31","1.39","1.4","1.4"
"Boyaca","11.36","11.23","11.09","10.96","10.8","11.1","10.7","10.95","11.14","11.27","10.35","11.49","11.41","11.52","11.45","10.57","10.41","10.25","10.14","10.24"
"Caldas","88.82","88.51","90.87","89.52","89.1","87.7","85","83.88","81.92","80.52","78.58","77.56","74.53","72.37","70.79","68.97","66.02","63.05","60.82","59.28"
"Caquetá","0","0","0","0","0","2.8","2.8","2.78","2.85","3.43","3.68","4.08","3.99","4.09","4.16","4.05","4.02","3.99","3.8","3.73"
"Cauca","65.68","68.5","69.85","68.92","68","67.8","69.8","73.34","76.19","81.17","84.06","91.61","88.83","92.62","95.75","93.3","92.56","92.67","91.94","93"
"Cesar","22.43","22.19","21.84","21.49","21.1","21.5","21.9","22.45","24.23","26.19","28.69","30.77","30.28","28.91","29.02","28.03","25.95","23.63","23.89","22.99"
"CORDOBA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"Cundinamarca","55.44","54.31","53.17","52.04","50.9","48.2","48.9","48.92","49.36","43.85","40.79","41.99","38","37.92","37.68","35.43","32.32","30.31","29.71","29.64"
"Chocó","0","0","0","0","0","0.18","0.19","0.2","0.19","0.21","0.17","0.17","0.16","0.16","0.16","0.17","0.17","0.18","0.18","0.18"
"Huila","78.23","82.2","93.91","95.92","95.1","98.1","102.5","104.99","117.84","129.15","139.14","154.49","154.98","154.09","151.87","147.8","146.76","144.9","144.31","144.12"
"La Guajira","4.57","4.72","4.85","5.02","4.4","5.07","5.08","5.18","5.28","5.79","6.21","6.77","6.79","6.12","6.13","5.86","5.14","4.25","4.22","3.85"
"Magdalena","17.45","17.58","17.73","18.04","18.3","17.1","17.6","18.45","18.87","19.76","20.56","21.26","21.27","20.39","20.52","20.17","19.39","17.96","17.97","17.66"
"Meta","0","0","0","0","0","2.4","2.4","2.29","2.59","3.01","3.23","3.6","3.44","3.53","3.61","3.4","2.9","2.89","2.8","2.87"
"Nariño","23","24.47","26.15","26.45","26.8","27.4","29","31","33.54","35.37","37.12","39.29","38.86","38.85","38.75","38.17","37.26","36.16","35.76","35.49"
"N. Santander","32.05","32.08","32.1","32.12","32.1","32.1","32.6","33.63","33.98","32.9","30.01","30.39","26.73","25.44","24.34","23.99","23.56","23.03","23.1","22.89"
"Quindio","44.52","44.71","44.59","42.95","44","43.3","42.4","39.78","43.37","31.07","30.18","28.88","27.67","27.02","25.68","23.76","21.25","20.02","19.65","18.87"
"Risaralda","59.38","58.55","57.78","56.85","56.2","55.4","54.4","54.27","52.88","52.56","52.32","52.27","51.03","50.8","50.26","48.52","46.39","45.13","44.47","43.39"
"Santander","42.09","42.36","42.75","43.28","41.2","41.1","41.5","42.75","44.58","45.23","46.83","50.27","50.32","51.14","50.61","50.16","50.66","51.35","52.01","53.03"
"SUCRE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tolima","105.56","105.44","105.33","105.21","105.1","104.3","102.8","103.91","106.79","109.86","113.15","119.33","117.18","118.43","117.27","112.87","111.71","108.17","106.99","107.03"
"Valle","86.55","85.94","85.34","84.73","84.1","82.5","77.5","75.78","75.09","75.8","69.44","68.39","67.57","64.39","62.96","61.11","55.41","52.41","51.19","51.38"
"ARAUCA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CASANARE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PUTUMAYO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AMAZONAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GUAINIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GUAVIARE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VAUPES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VICHADA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"archipiélago de San Andrés y Providencia Santa Catalina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
